club_name,canonical_name,league_name,city,state,source_url,website,website_status,website_discovered_at,source_type,website_source
Cape Express,Cape Express,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.capeexpress.com/,,,,database
Capital City United Soccer Academy,Capital Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.ccunitedsa.com,search,2026-04-12T02:37:57.216636+00:00,,
Caribbiana FC,Caribbiana,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.caribbianafc.com/,,,,database
Catonsville Soccer,Catonsville,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.catonsvillesoccer.com/,,,,database
Cedar Stars Academy (Staten Island),Cedar Stars Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.cedarstars.com/,,,,database
Central Brevard Soccer,Central Brevard,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.centralbrevardsoccer.com/,,,,database
Central Carroll Soccer Club,Central Carroll,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.centralcarrollsc.com/,,,,database
Central Jersey Futbol Alliance,Central Jersey Futbol Alliance,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://centraljerseyfa.com/,,,,database
Cerritos Soccer Academy,Cerritos Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.cerritosacademy.com/,search,2026-04-12T02:37:58.792149+00:00,,
Charles Village Soccer Club,Charles Village,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.charlesvillagerec.org/,,,,database
Chatham United SA,Chatham Sa,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/new-jersey/50004929,search,2026-04-12T02:38:00.289316+00:00,,
Chestnut Hill Soccer Club,Chestnut Hill,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.chestnuthillsc.com/,,,,database
Cheverly Soccer Club,Cheverly,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://cheverlysoccerclub.org/,,,,database
Churchville Soccer Club,Churchville,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.churchvillesoccerclub.com/,,,,database
CIFA,Cifa,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.cifainternational.org/,,,,database
Cinnaminson SC,Cinnaminson,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://highschoolsports.nj.com/school/cinnaminson-cinnaminson/boyssoccer/season/2024-2025/roster,,,,database
Cipriani Accademia FC,Cipriani Accademia,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.vysa.com/members/,,,,database
City SC Frederick,Frederick,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://cityscfrederick.com/,,,,database
Clark SC,Clark,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.clarksoccerclub.org/,,,,database
Clifton United FC,Clifton,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.cliftonsoccer.org/,,,,database
CM Soccer Club,Cm,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.cmsoccer.org/,,,,database
Cockeysville FC,Cockeysville,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50003705,,,,database
Colonia Youth Soccer Association,Colonia Association,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/new-jersey/50004938,search,2026-04-12T02:38:01.868508+00:00,,
Colts Neck,Colts Neck,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://highschoolsports.nj.com/school/colts-neck-colts-neck,,,,database
Community First SC,Community First,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.communityfirstsoccer.com/,,,,database
Cosmo Stars SC,Cosmo Stars,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://cosmostars.net/,,,,database
Davidsonville Football Club,Davidsonville Football,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50022021,,,,database
DC Way Academy,Dc Way Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://dcwayacademy.org/,,,,database
DC XI Project,Dc Xi Project,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/district-of-columbia/50010191,,,,database
Delaware Futbol Academy,Delaware Futbol Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://dfa.leagueapps.com/,,,,database
Delmarva Rush,Delmarva Rush,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.delmarvarush.com/,,,,database
Den of Lions,Den Of Lions,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://denoflions.com/,,,,database
District Elite Football Club,District Elite Football,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://districtelitefc.org/about-us/,search,2026-04-12T02:38:03.485906+00:00,,
District of Columbia Football Club,District Of Columbia Football,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.districtofcolumbiafc.com/,,,,database
DMV Gaindes,Dmv Gaindes,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://sadmvgaindes.org/,,,,database
DMV MarksMen Elite,Dmv Marksmen Elite,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50050498,,,,database
Dover Futbol Club,Dover Futbol,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.doversportsclub.com/Default.aspx?tabid=1440512,,,,database
Dribbling United Soccer Club,Dribbling,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://achievesports.com/mastering-soccer-dribbling-tips-and-drills-for-skillful-ball-control/,,,,database
East Brunswick,East Brunswick,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://ebsoccer.com/,,,,database
East Hampton Soccer Stars,East Hampton Stars,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/new-york-east/50005626,search,2026-04-12T02:38:05.024428+00:00,,
East Hanover Soccer Club,East Hanover,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.easthanoversoccer.org/,,,,database
East Ramapo,East Ramapo,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,http://eastramaposoccerclub.com/,,,,database
Edison United SA,Edison Sa,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/new-jersey/50004972,search,2026-04-12T02:38:06.542681+00:00,,
Egg Harbor Township SC,Egg Harbor Township,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.ehtsoccerclub.com/,,,,database
Elite Football Club,Elite Football,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://clubs.bluesombrero.com/elitefcnewmexico,,,,database
Elite Soccer Club Plainfield,Elite Plainfield,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.ballertv.com/teams/elite-plainfield-elite-revolution-wazd5jvvicouynafxop,,,,database
Elite Soccer Youth Development Academy,Elite Development Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,http://socaleda.com/,,,,database
EliteVision FC,Elitevision,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.elitevisionathletics.com/,,,,database
Elizabeth Youth Soccer,Elizabeth,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,http://www.elizabethsoccer.com/,,,,database
Elkridge Youth Organization Soccer,Elkridge Organization,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50010039,search,2026-04-12T02:38:08.072672+00:00,,
Ellicott City Soccer Club,Ellicott,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://ellicottcitysc.org/,,,,database
Elmwood Park Crew Soccer Club,Elmwood Park Crew,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.epcrewsoccer.com/,,,,database
Elvaton Elite Soccer,Elvaton Elite,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.activekids.com/millersville-md/soccer/soccer-camps/fall-spring-2027-elvaton-elite-teams-2026,,,,database
Europa Lions FC,Europa Lions,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.europalionsfc.com/,,,,database
Fallston Soccer,Fallston,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://fallstonrec.com/soccer/,,,,database
FC Berna Legacy,Berna Legacy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://sportsrecruits.com/organization/fc_berna_legacy_girls,,,,database
FC Brasil,Brasil,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://brazilworldcupblog.net/,,,,database
FC Charles 1658,Charles 1658,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50003732,,,,database
FCGB Center of Excellence,Fcgb Center Of Excellence,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.fcgbcoe.org/practice-fields-fcgb-center-of-excellence,,,,database
FCI Soccer Academy,Fci Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.fciacademy.org/,,,,database
FC Jaguars,Jaguars,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://jaguarsunitedfc.com/,,,,database
FC Millennium International,Millennium International,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/team/300009559,,,,database
FC Neshanic,Neshanic,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.fcneshanic.com/,,,,database
FC USA Soccer Club,Usa,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.sylsoccer.com/barcelona-usa-maryland-sc,,,,database
Flight School Soccer Club,Flight School,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://flightschool.leaguesuite.com/,,,,database
Florham Park Soccer Club,Florham Park,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.thefootballacademynj.com/,,,,database
Fort Lee Soccer League,Fort Lee League,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.fortleechamber.com/list/member/fort-lee-soccer-league-714,search,2026-04-12T02:38:09.619827+00:00,,
Foundation Soccer Academy,Foundation Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.foundationacademy.net/foundation-academy-boys-varsity-soccer-a-perfect-start-to-the-2025-season/,,,,database
Founders FC,Founders,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.foundersathletics.org/,,,,database
Fox Soccer Academy Premier,Fox Academy Premier,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/new-york-east/50005686,search,2026-04-12T02:38:11.129245+00:00,,
German American Kickers,German American Kickers,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://gakickers.webs.com/,,,,database
Germantown Impact FC,Germantown Impact,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.germantownimpact.com/,,,,database
GGS Soccer Academy,Ggs Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://ggs-soccer-academy.wheree.com/,search,2026-04-12T02:38:12.691754+00:00,,
Go Premier Soccer,Go Premier,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50003761,,,,database
Grassroots Soccer Academy,Grassroots Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.murraysoccer.com/grassroots,,,,database
Greater Severna Park Athletic Assoc,Greater Severna Park Athletic Assoc,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50003763,,,,database
Gunston SC,Gunston,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.mapquest.com/us/virginia/gunston-soccer-club-673736027,,,,database
Hamilton Soccer Club,Hamilton,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.hamiltonwildcatsfc.com/,,,,database
Harundale Youth Sports League,Harundale Sports League,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://harundalesoccer.com/,search,2026-04-12T02:38:14.328231+00:00,,
Hazlet United,Hazlet,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.mapquest.com/us/new-jersey/hazlet-united-soccer-association-783147620,,,,database
Hempstead EOC,Hempstead Eoc,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.hempsteadeocsoccerclub.org/,,,,database
Hereford Soccer Club,Hereford,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.herefordsoccerclub.com/,,,,database
HERO Soccer Club Academy LLC,Hero Academy Llc,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50041974,search,2026-04-12T02:38:15.894263+00:00,,
Hillsborough SC,Hillsborough,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://hillsboroughsoccerclub.com/,,,,database
Hoboken United,Hoboken,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.hobokenadultsoccer.com/,,,,database
Holmdel FC,Holmdel,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://holmdelfc.org/,,,,database
Hotspur FC,Hotspur,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.tottenhamhotspur.com/,,,,database
Howell United SC,Howell,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.howellsoccerclub.com/Default.aspx?tabid=1673144,,,,database
Hudson Valley Premier Program,Hudson Valley Premier Program,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/new-york-east/50029503,,,,database
Independent Teams - NTX,Independent Teams - Ntx,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/texas-north/50007909,search,2026-04-12T02:38:17.428508+00:00,,
Ives Estate,Ives Estate,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.mapquest.com/us/florida/ives-estates-premier-soccer-program-489139581,,,,database
Jackson SC(NJ),Jackson,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.jacksonsc.org/,,,,database
Jersey Crew SC,Jersey Crew,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://jerseycrewsoccerclub.leagueapps.com/,,,,database
Jersey Elite Soccer Academy,Jersey Elite Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.dtsnewjersey.com/dts-elite-academy,search,2026-04-12T02:38:18.975026+00:00,,
Jersey Knights SC,Jersey Knights,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://jersey-knights-soccer-complex.sportsgrounds.us.com/,,,,database
Joga Futebol Club,Joga Futebol,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.jogafc.com/,,,,database
Juventus Academy NY,Juventus Academy Ny,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://juventusny.com/,,,,database
Kearny Thistle United FC,Kearny Thistle,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.kearnythistleunited.com/,,,,database
Kids United - NY,Kids - Ny,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,,,,,
Lduq-usa Pro,Lduq-Usa Pro,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/new-jersey/50005082,,,,database
LF United,Lf,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.lfsoccer.com/,,,,database
Limitless Performance F.C.,Limitless Performance .,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50056767,search,2026-04-12T02:38:21.950977+00:00,,
Linden Youth Soccer Association,Linden Association,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/new-jersey/50005085,search,2026-04-12T02:38:23.482888+00:00,,
Lions Soccer Club,Lions,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://coachbricesoccer.com/index.html,,,,database
Logan's FC,Logan'S,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://sportsrecruits.com/athlete/logan_wallace3,,,,database
Long Branch Wave United,Long Branch Wave,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/new-jersey/50042404,,,,database
Luciano Emilio Soccer Club,Luciano Emilio,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.lescinternazionale.com/,,,,database
Lutherville Timonium Soccer Club,Lutherville Timonium,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50003789,,,,database
Lyndhurst SC,Lyndhurst,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.lyndhurstsoccer.com/,,,,database
Madison SC Inc.,Madison Inc.,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://home.gotsoccer.com/(X(1))/rankings/team.aspx?TeamID=1496097,search,2026-04-12T02:38:25.016625+00:00,,
Manalapan SC,Manalapan,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.manalapansoccerclub.com/Default.aspx?tabid=554003,,,,database
Manassas United,Manassas,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.msclions.com/,,,,database
Manhattan Kickers,Manhattan Kickers,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,http://www.manhattankickersfc.com/,,,,database
Mantua Township SA,Mantua Township Sa,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.teamstats.net/team/soccer/mantua-township-sa,,,,database
Marlboro Soccer Association,Marlboro Association,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.marlborosoccer.com/,search,2026-04-12T02:38:26.581176+00:00,,
Marlton Soccer Club,Marlton,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.marltonreccouncil.org/marltonsoccer,,,,database
Maroons Soccer Club,Maroons,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.maroonssoccer.com/,,,,database
Maryland Bobcats Youth Academy,Maryland Bobcats Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50003798,search,2026-04-12T02:38:28.131103+00:00,,
Maryland Fusion Soccer,Maryland Fusion,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,"https://www.causeiq.com/organizations/maryland-fusion-soccer,821347784/",,,,database
Maryland International Soccer Club,Maryland International,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://soccermi.com/,,,,database
Maryland Rush,Maryland Rush,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.marylandrush.com/,,,,database
Maryland State Youth Soccer Association,Maryland State Association,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.msysa.org/,search,2026-04-12T02:38:29.728990+00:00,,
Maryland United Football Club,Maryland Football,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.maxpreps.com/md/football/,,,,database
Mercer United FC,Mercer,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,http://www.mercermensoccer.net/,,,,database
Miami Athletic Club,Miami Athletic,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.miamiac.org/news/2025/05/28/miami-athletic-club-joins-elite-academy-league-representing-florida-conference-in-u13-u19-boys-divisions/,,,,database
Miami Shores Soccer Club,Miami Shores,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.mapquest.com/us/florida/miami-shores-soccer-club-652329580,,,,database
Miami Stars Soccer,Miami Stars,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/florida/50010180,,,,database
Middlesex Youth SA,Middlesex Sa,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,,,,,
Millburn SC,Millburn,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://millburnsoccer.com/,,,,database
Millville SA,Millville Sa,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://home.gotsoccer.com/(X(1))/rankings/club.aspx?ClubID=10625,,,,database
MoCo 1776 Futbol Club,Moco 1776 Futbol,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50047012,,,,database
Monmouth United Soccer,Monmouth,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.monmouthunitedsoccer.com/,,,,database
Monroe Township SC,Monroe Township,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.mapquest.com/us/new-jersey/monroe-soccer-complex-358440826,,,,database
Montclair United,Montclair,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.montclairsoccer.com/,,,,database
Montgomery Travel SC,Montgomery Travel,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.montgomerysoccer.org/,,,,database
Montville SA,Montville Sa,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,,,,,
Morris Elite SC,Morris Elite,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://morriselitesoccer.com/,,,,database
Mountain Lakes-Boonton Township-Boonton Soccer Club (MLBTB),Mountain Lakes-Boonton Township-Boonton,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/team/300236804,,,,database
"Mount Washington Soccer Club, Inc.","Mount Washington , Inc.",EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50003813,search,2026-04-12T02:38:34.195316+00:00,,
Mt Airy Youth Athletic Association,Mt Airy Athletic Association,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50003814,search,2026-04-12T02:38:35.731944+00:00,,
NCA Tiger's FC,Nca Tiger'S,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://ncatigersfc.com/,,,,database
NDA - Niupi Development Academy,Nda - Niupi Development Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/new-jersey/50041979,,,,database
New Jersey Legacy FC,New Jersey Legacy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.njlegacyfc.com/,,,,database
New Jersey Rush,New Jersey Rush,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.njrush.com/,,,,database
Next Level Soccer Academy (NJ),Next Level Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,,,,,
NJ Blaze,Nj Blaze,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.njblazesa.com/,,,,database
NJ Nationals FC,Nj Nationals,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.njnationals.com/,,,,database
NJ Stallions,Nj Stallions,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.njstallions.com/,,,,database
Nor'easters Academy,Nor'Easters Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.noreastersacademy.com/,,,,database
North Brunswick Soccer,North Brunswick,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.northbrunswicksoccer.org/,,,,database
North Carroll Soccer Club,North Carroll,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.northcarrollsoccer.com/,,,,database
North Chesapeake Football Club,North Chesapeake Football,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50003820,,,,database
Northern Baltimore United,Northern Baltimore,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://northernbaltimoreunited.com/,,,,database
Northern Elite Soccer Club,Northern Elite,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.northernelitesoccer.com/,,,,database
Northern Valley Soccer Club,Northern Valley,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.nvscnj.net/,,,,database
Northern Virginia United Academy,Northern Virginia Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.prnewswire.com/news-releases/northern-virginia-united-academy-launches-year-round-youth-soccer-program-301527124.html,search,2026-04-12T02:38:38.772307+00:00,,
North Jersey Bucks,North Jersey Bucks,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://northjerseybucks.com/home,,,,database
North Jersey FC,North Jersey,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.northjerseyfc.org/,,,,database
North Plainfield SC,North Plainfield,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.nplainfield.org/athletics/team-schedules/team-details/~athletics-team-id/184,,,,database
NPC Futbol & Futsal,Npc Futbol & Futsal,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.msysa.org/camps-clinics/,,,,database
Ocean Township United SA,Ocean Township Sa,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/new-jersey/50005186,search,2026-04-12T02:38:40.317181+00:00,,
Olney Boys and Girls Club Community Sports Association,Olney And Community Sports Association,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://go.traceup.com/search/team/9v0vb2cv,search,2026-04-12T02:38:41.880646+00:00,,
One Nation Soccer Academy,One Nation Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/maryland/50022852,search,2026-04-12T02:38:43.411475+00:00,,
Overlea Evolution Futebol Club,Overlea Evolution Futebol,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,http://overleasoccer.org/Evolution,,,,database
PA Classics Harrisburg (LDSA),Pa Classics Harrisburg,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.paclassicsharrisburg.com/,,,,database
Panthers FC,Panthers,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://pittsburghpanthers.com/news/2025/9/18/mens-soccer-panthers-primed-for-friday-night-showdown-at-maryland,,,,database
Pasadena Soccer Club,Pasadena,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.pasadenasoccerclub.com/,,,,database
Pasco Soccer Club,Pasco,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.pascosoccer.com/,,,,database
Passaic Youth Soccer,Passaic,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.maxpreps.com/nj/wayne/passaic-county-tech-bulldogs/soccer/,,,,database
Paterson Rec. Unisamba,Paterson Rec. Unisamba,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://youthsoccergames.com/club/new-jersey/50005208,,,,database
Pennsauken Youth Soccer Club,Pennsauken,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.pennsaukensoccer.com/,,,,database
Phoenix Football Club,Phoenix Football,EDP Soccer,,,https://system.gotsport.com/org_event/events/44329/clubs,https://www.carrollmanor.org/soccer/phoenix-football-club-pfc-travel-soccer/,,,,database
